Serial Number,Common Name (India Checklist),Scientific Name (India Checklist),IUCN Status,WLPA Schedule,Analysed Long-term,Analysed Current,Long-term Trend (%),Long-term Trend CI (%),Current Annual Change (%),Current Annual Change CI (%),"Distribution Range Size (units of 10,000 sq. km.)","Distribution Range Size CI (units of 10,000 sq. km.)",Long Term Status,Current Status,Distribution Status,Status of Conservation Concern,Assessed Primarily Based On,Migratory Status
1,Fulvous Whistling Duck,Dendrocygna bicolor,Least Concern,Schedule-I,,X,NA,NA,-1.873457577,11.42140106,13.4074988,0.0711,Data Deficient,Uncertain,Moderate,Low,Trends & Range Size,Resident
2,Lesser Whistling Duck,Dendrocygna javanica,Least Concern,Schedule-IV,X,X,4.607644743,19.49676762,-3.907999145,2.727739793,149.898761,0.0987,Stable,Moderate Decline,Very Large,Low,Trends & Range Size,Resident
3,Bar-headed Goose,Anser indicus,Least Concern,Schedule-IV,X,X,-13.39993978,217.658129,-6.935406704,38.94695007,45.4472583,0.07,Uncertain,Uncertain,Large,Low,Trends & Range Size,Migratory-Local
4,Greylag Goose,Anser anser,Least Concern,Schedule-IV,X,X,-38.40276243,34.9438426,-3.091665089,8.853505483,24.5691745,0.1045,Uncertain,Uncertain,Moderate,Low,Trends & Range Size,Migratory-Long-Distance
5,Comb Duck,Sarkidiornis melanotos,Least Concern,Schedule-IV,X,X,1.291713172,31.15429634,-6.018773577,4.432596981,81.233442,0.0836,Uncertain,Moderate Decline,Large,Moderate,Trends & Range Size,Resident
6,Ruddy Shelduck,Tadorna ferruginea,Least Concern,Schedule-IV,X,X,-0.908793756,65.31597961,-2.306987498,11.36083898,73.1742151,0.0758,Uncertain,Uncertain,Large,Low,Trends & Range Size,Migratory-Local
7,Cotton Teal,Nettapus coromandelianus,Least Concern,Schedule-IV,X,X,-59.55395467,9.45142338,-8.044061151,3.158942744,100.1270602,0.1013,Strong Decline,Strong Decline,Very Large,High,Trends,Resident
8,Garganey,Spatula querquedula,Least Concern,Schedule-IV,X,X,-35.75719024,18.62401528,1.527143661,5.195318715,78.397137,0.088,Stable,Uncertain,Large,Low,Trends & Range Size,Migratory-Long-Distance
9,Northern Shoveler,Spatula clypeata,Least Concern,Schedule-IV,X,X,-27.91852757,23.25810208,0.209888173,5.818148836,92.082839,0.0807,Stable,Uncertain,Large,Low,Trends & Range Size,Migratory-Long-Distance
10,Gadwall,Mareca strepera,Least Concern,Schedule-IV,X,X,-12.3750217,38.54178502,1.192060619,8.119405109,68.3142581,0.0855,Uncertain,Uncertain,Large,Low,Trends & Range Size,Migratory-Long-Distance
